2019_PM10,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
count,38.0,32.0,60.0,45.0,16.0,0.0,0.0,0.0,0.0,59.0,60.0,19.0
mean,163.0,182.0,164.0,178.0,178.0,,,,,205.0,172.0,168.0
std,10.0,27.0,9.0,29.0,29.0,,,,,41.0,19.0,16.0
min,150.0,150.0,150.0,150.0,151.0,,,,,151.0,151.0,151.0
25%,155.0,161.0,156.0,158.0,160.0,,,,,170.0,159.0,156.0
50%,160.0,176.0,166.0,169.0,170.0,,,,,206.0,168.0,164.0
75%,168.0,194.0,172.0,189.0,182.0,,,,,232.0,181.0,180.0
max,185.0,245.0,181.0,301.0,264.0,,,,,322.0,281.0,203.0
