2022_PM10,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
count,1.0,0.0,61.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0
mean,152.0,,194.0,178.0,,271.0,,,,,,209.0
std,,,37.0,14.0,,,,,,,,68.0
min,152.0,,150.0,159.0,,271.0,,,,,,105.0
25%,152.0,,166.0,167.0,,271.0,,,,,,169.0
50%,152.0,,182.0,176.0,,271.0,,,,,,184.0
75%,152.0,,207.0,184.0,,271.0,,,,,,238.0
max,152.0,,287.0,217.0,,271.0,,,,,,396.0
