2020_PM10,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
count,0.0,10.0,1.0,33.0,38.0,3.0,0.0,0.0,0.0,23.0,0.0,0.0
mean,,159.0,199.0,193.0,208.0,153.0,,,,178.0,,
std,,5.0,,31.0,47.0,3.0,,,,19.0,,
min,,151.0,199.0,150.0,156.0,151.0,,,,151.0,,
25%,,157.0,199.0,168.0,182.0,152.0,,,,163.0,,
50%,,159.0,199.0,187.0,193.0,152.0,,,,180.0,,
75%,,161.0,199.0,217.0,220.0,154.0,,,,185.0,,
max,,167.0,199.0,282.0,380.0,157.0,,,,218.0,,
