2020_PM25,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
count,43.0,66.0,12.0,0.0,1.0,6.0,0.0,1.0,0.0,10.0,29.0,28.0
mean,86.0,82.0,85.0,,79.0,85.0,,85.0,,78.0,82.0,80.0
std,8.0,6.0,12.0,,,11.0,,,,3.0,5.0,5.0
min,75.0,75.0,76.0,,79.0,75.0,,85.0,,75.0,75.0,75.0
25%,79.0,78.0,78.0,,79.0,78.0,,85.0,,76.0,78.0,77.0
50%,82.0,80.0,81.0,,79.0,82.0,,85.0,,78.0,81.0,80.0
75%,91.0,84.0,90.0,,79.0,88.0,,85.0,,80.0,85.0,82.0
max,105.0,110.0,119.0,,79.0,106.0,,85.0,,83.0,91.0,96.0
