,발령 지역 명,미세먼지 항목 구분,발령 연도,분기,평균 미세먼지 농도
0,부산,PM25,2018,2018년도 4분기,78.0
1,부산,PM25,2018,2018년도 3분기,78.0
2,부산,PM25,2018,2018년도 1분기,92.0
3,부산,PM25,2019,2019년도 4분기,77.0
4,부산,PM25,2020,2020년도 1분기,76.0
5,부산,PM25,2021,2021년도 2분기,88.0
6,부산,PM25,2023,2023년도 2분기,84.0
7,부산,PM10,2018,2018년도 2분기,219.0
8,부산,PM10,2020,2020년도 2분기,192.0
9,부산,PM10,2022,2022년도 4분기,178.0
10,부산,PM10,2022,2022년도 1분기,173.0
