,발령 지역 명,미세먼지 항목 구분,발령 연도,분기,평균 미세먼지 농도
0,광주,PM25,2018,2018년도 1분기,97.0
1,광주,PM25,2019,2019년도 4분기,96.0
2,광주,PM25,2019,2019년도 2분기,97.0
3,광주,PM25,2020,2020년도 4분기,76.0
4,광주,PM25,2021,2021년도 4분기,75.0
5,광주,PM25,2021,2021년도 2분기,104.0
6,광주,PM25,2023,2023년도 2분기,119.0
7,광주,PM10,2018,2018년도 2분기,308.0
8,광주,PM10,2020,2020년도 4분기,211.0
9,광주,PM10,2021,2021년도 1분기,367.0
10,광주,PM10,2022,2022년도 4분기,215.0
11,광주,PM10,2022,2022년도 2분기,165.0
12,광주,PM10,2022,2022년도 1분기,213.0
