so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,50,0.002,0.3,,,1,21,1,12,경북,,1,,1,,2023-05-25 07:00,1,0.020,대도동,1,0.014
1,,32,0.003,0.3,,,1,22,1,12,경북,,1,,1,,2023-05-25 07:00,1,0.016,대송면,1,0.013
1,,43,0.004,0.6,통신장애,,1,17,1,-,경북,,1,,1,,2023-05-25 07:00,1,0.015,3공단,1,0.011
,,50,-,0.3,,,1,24,1,9,경북,,1,,1,통신장애,2023-05-25 07:00,1,0.017,송도동,1,0.018
1,,34,0.003,0.2,,,1,18,1,3,경북,,1,,1,,2023-05-25 07:00,1,0.020,오천읍,1,0.013
1,,48,0.004,0.5,,,1,43,1,15,경북,,1,,1,,2023-05-25 07:00,1,0.029,청림동,1,0.010
1,,-,0.002,0.3,,,1,21,,16,경북,,1,,,,2023-05-25 07:00,1,0.019,연일읍,1,0.011
1,,-,0.002,0.6,,통신장애,1,-,,20,경북,,1,,2,,2023-05-25 07:00,1,0.028,제철동,,0.009
1,,54,0.003,0.3,,,1,25,2,20,경북,,1,,2,,2023-05-25 07:00,1,0.022,성건동,1,0.006
1,,31,0.004,0.3,,,1,4,1,3,경북,,1,,1,,2023-05-25 07:00,1,0.012,보덕동,1,0.019
1,,47,0.003,0.4,,,1,14,1,13,경북,,1,,1,,2023-05-25 07:00,1,0.011,안강읍,1,0.012
1,,33,0.003,0.3,,,1,20,1,10,경북,,1,,1,,2023-05-25 07:00,1,0.017,외동읍,1,0.011
1,,47,0.003,0.2,,,1,28,1,15,경북,,1,,1,,2023-05-25 07:00,1,0.011,평화남산동,1,0.018
1,,54,0.002,0.3,,,1,34,2,13,경북,,1,,2,,2023-05-25 07:00,1,0.015,대광동,2,0.023
1,,57,0.002,0.4,,,1,35,2,12,경북,,1,,1,,2023-05-25 07:00,1,0.017,율곡동,2,0.024
1,,45,0.001,0.3,,,1,13,1,7,경북,,1,,1,,2023-05-25 07:00,1,0.008,명륜동,1,0.027
1,,75,0.003,0.5,,,1,67,2,31,경북,,1,,2,,2023-05-25 07:00,1,0.025,공단동,2,0.027
1,,61,0.002,0.1,,,1,39,2,20,경북,,1,,2,,2023-05-25 07:00,1,0.030,원평동,2,0.016
1,,77,0.002,0.3,,,1,38,2,29,경북,,1,,2,,2023-05-25 07:00,1,0.015,형곡동,2,0.027
1,,47,0.001,0.3,,,1,27,1,9,경북,,1,,1,,2023-05-25 07:00,1,0.017,4공단,1,0.017
1,,72,0.002,0.5,,,1,50,2,19,경북,,1,,2,,2023-05-25 07:00,1,0.016,진미동,2,0.026
,통신장애,-,-,-,통신장애,통신장애,,-,,-,경북,통신장애,,통신장애,,통신장애,2023-05-24 12:00,,-,가흥동,,-
1,,27,0.002,0.2,,,1,11,1,6,경북,,1,,1,,2023-05-25 07:00,1,0.011,영주동,1,0.016
1,,54,0.005,0.4,,,1,37,2,20,경북,,1,,2,,2023-05-25 07:00,1,0.007,중방동,2,0.016
1,,47,0.003,0.4,,,1,23,1,11,경북,,1,,1,,2023-05-25 07:00,1,0.015,하양읍,1,0.018
1,,50,0.003,0.4,,,1,29,1,17,경북,,1,,1,,2023-05-25 07:00,1,0.021,진량읍,1,0.011
1,,51,0.001,0.3,,,1,34,2,16,경북,,1,,2,,2023-05-25 07:00,1,0.013,상주시,1,0.022
1,,61,0.004,0.4,,,1,40,2,22,경북,,2,,2,,2023-05-25 07:00,1,0.031,칠곡군,2,0.006
1,,33,0.002,0.2,,,1,7,1,7,경북,,1,,1,,2023-05-25 07:00,1,0.004,영덕읍,1,0.020
1,,42,0.002,0.2,,,1,16,1,6,경북,,1,,1,,2023-05-25 07:00,1,0.006,강구면,1,0.025
1,,38,0.002,0.3,,,1,9,1,5,경북,,1,,1,,2023-05-25 07:00,1,0.007,영해면,1,0.023
1,,32,0.002,0.2,,,1,18,1,6,경북,,1,,1,,2023-05-25 07:00,1,0.018,문경시,1,0.013
1,,59,0.002,0.4,,,1,36,2,21,경북,,1,,2,,2023-05-25 07:00,1,0.024,성주군,2,0.009
1,,-,0.002,0.5,,,2,10,,10,경북,,1,,,,2023-05-25 07:00,1,0.005,화북면,1,0.032
1,,47,0.003,0.4,,,1,16,1,13,경북,,1,,1,,2023-05-25 07:00,1,0.018,영천시,1,0.013
1,,40,0.002,0.3,,,1,19,1,14,경북,,1,,1,,2023-05-25 07:00,1,0.009,안계면(교외),1,0.018
1,,38,0.003,0.2,,,1,13,1,4,경북,,1,,1,,2023-05-25 07:00,1,0.007,의성읍,1,0.023
1,,40,0.003,0.3,,,1,22,1,15,경북,,1,,1,,2023-05-25 07:00,1,0.008,안계면,1,0.018
1,,30,0.002,0.4,,,1,11,1,7,경북,,1,,1,,2023-05-25 07:00,1,0.007,울진군,1,0.018
1,,-,0.002,0.2,,,1,7,,3,경북,,1,,,,2023-05-25 07:00,1,0.003,석포면,1,0.021
1,,-,0.001,0.2,통신장애,,1,11,,-,경북,,1,,,,2023-05-25 07:00,1,0.006,봉화군청,1,0.019
1,통신장애,69,0.002,-,,,2,18,2,9,경북,,1,,1,,2023-05-25 07:00,,0.003,태하리,1,0.052
1,,62,0.001,0.2,,,2,7,2,1,경북,,1,,1,,2023-05-25 07:00,1,0.004,울릉읍,1,0.044
1,,70,0.002,0.3,,,2,22,2,10,경북,,1,,1,,2023-05-24 16:00,1,0.005,대가야읍,2,0.053
1,,50,0.003,0.3,,,1,14,1,6,경남,,1,,1,,2023-05-25 07:00,1,0.030,반송로,1,0.013
1,,48,0.002,0.5,,,1,17,1,14,경남,,1,,1,,2023-05-25 07:00,1,0.029,사파동,1,0.010
1,,37,0.002,0.3,,,1,16,1,8,경남,,1,,1,,2023-05-25 07:00,1,0.015,삼진로,1,0.013
1,,43,0.002,0.3,,,1,18,1,8,경남,,1,,1,,2023-05-25 07:00,1,0.026,경화동,1,0.018
1,,47,0.003,0.3,,,1,14,1,7,경남,,1,,1,,2023-05-25 07:00,1,0.028,월영동,1,0.015
1,,74,0.003,0.4,,,1,45,2,24,경남,,1,,2,,2023-05-25 07:00,1,0.010,하동읍,2,0.022
1,,77,0.003,0.4,,,1,39,2,24,경남,,1,,2,,2023-05-25 07:00,1,0.019,금성면,2,0.020
1,,37,0.002,0.3,,,1,20,1,11,경남,,1,,1,,2023-05-25 07:00,1,0.020,동상동,1,0.007
1,,42,0.002,0.4,,,1,11,1,3,경남,,1,,1,,2023-05-25 07:00,1,0.015,삼방동,1,0.025
1,,90,0.004,0.3,,,1,17,2,11,경남,,2,,1,,2023-05-25 07:00,1,0.054,장유동,1,0.005
1,,51,0.004,0.4,,,1,31,2,16,경남,,1,,2,,2023-05-25 07:00,1,0.030,진영읍,2,0.010
1,,62,0.004,0.3,,,1,28,2,13,경남,,2,,1,,2023-05-25 07:00,1,0.037,김해대로,1,0.005
1,,53,0.002,0.0,,,2,13,2,8,경남,,1,,1,,2023-05-25 07:00,1,0.005,저구리,1,0.033
1,,35,0.002,0.4,통신장애,,1,7,1,-,경남,,1,,1,,2023-05-25 07:00,1,0.014,아주동,1,0.021
1,,28,0.001,0.4,,,1,8,1,8,경남,,1,,1,,2023-05-25 07:00,1,0.012,고현동,1,0.017
1,,59,0.004,0.3,,,1,37,2,15,경남,,1,,2,,2023-05-25 07:00,1,0.013,사천읍,2,0.026
1,,54,0.003,0.4,,,2,34,2,11,경남,,1,,1,,2023-05-25 07:00,1,0.010,향촌동,2,0.033
