,2021_PM25,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
df_2021_PM25,count,4.0,66.0,124.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0
df_2021_PM25,mean,82.0,83.0,103.0,,106.0,,,,,,85.0,80.0
df_2021_PM25,std,7.0,7.0,36.0,,34.0,,,,,,6.0,3.0
df_2021_PM25,min,77.0,75.0,46.0,,56.0,,,,,,75.0,76.0
df_2021_PM25,25%,79.0,78.0,79.0,,78.0,,,,,,81.0,78.0
df_2021_PM25,50%,80.0,82.0,90.0,,95.0,,,,,,86.0,80.0
df_2021_PM25,75%,83.0,88.0,116.0,,131.0,,,,,,89.0,82.0
df_2021_PM25,max,93.0,105.0,212.0,,178.0,,,,,,96.0,86.0
df_2021_PM10,count,21.0,8.0,209.0,58.0,180.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
df_2021_PM10,mean,165.0,155.0,319.0,204.0,259.0,,,,,,158.0,
df_2021_PM10,std,12.0,3.0,203.0,43.0,129.0,,,,,,6.0,
df_2021_PM10,min,150.0,152.0,104.0,150.0,104.0,,,,,,150.0,
df_2021_PM10,25%,156.0,153.0,149.0,171.0,152.0,,,,,,154.0,
df_2021_PM10,50%,166.0,154.0,237.0,199.0,212.0,,,,,,156.0,
df_2021_PM10,75%,173.0,155.0,440.0,226.0,335.0,,,,,,162.0,
df_2021_PM10,max,192.0,161.0,1005.0,346.0,620.0,,,,,,172.0,
