방직 당월 (억 미터),방직 누계 (억 미터),방직 전년동기대비 증가율 (%),방직 누계 증가율(%),화학섬유 당월 (만 톤),화학섬유 당월 (누계 만톤),화학섬유 전년동기대비 증가율 (%),화학섬유 누계 증가율(%),에틸렌 당월 (만 톤),에틸렌 당월 (누계 만톤),에틸렌 전년동기대비 증가율 (%),에틸렌 누계 증가율(%),플라스틱원료 당월 (만 톤),플라스틱원료 당월 (누계 만톤),플라스틱원료 전년동기대비 증가율 (%),플라스틱원료 누계 증가율(%),플라스틱제품 당월 (만 톤),플라스틱제품 당월 (누계 만톤),플라스틱제품 전년동기대비 증가율 (%),플라스틱제품 누계 증가율(%),선철 당월 (만 톤),선철 당월 (누계 만톤),선철 전년동기대비 증가율 (%),선철 누계 증가율(%),조강 당월 (만 톤),조강 당월 (누계 만톤),조강 전년동기대비 증가율 (%),조강 누계 증가율(%),강재 당월 (만 톤),강재 당월 (누계 만톤),강재 전년동기대비 증가율 (%),강재 누계 증가율(%),비철금속 당월 (만 톤),비철금속 당월 (누계 만톤),비철금속 전년동기대비 증가율 (%),비철금속 누계 증가율(%),금속절삭기계 당월 (만 대),금속절삭기계 당월 (누계 만대),금속절삭기계 전년동기대비 증가율 (%),금속절삭기계 누계 증가율(%),소형트랙터 당월 (만 대),소형트랙터 당월 (누계 만대),소형트랙터 전년동기대비 증가율 (%),소형트랙터 누계 증가율(%),대기오염방지설비 당월 (만 대),대기오염방지설비 당월 (누계 만대),대기오염방지설비 전년동기대비 증가율 (%),대기오염방지설비 누계 증가율(%),공업용로봇 당월 (대),공업용로봇 당월 (누계 대),공업용로봇 전년동기대비 증가율 (%),공업용로봇 누계 증가율(%),발전설비 당월 (만 kW),발전설비 당월 (누계 만kW),발전설비 전년동기대비 증가율 (%),발전설비 누계 증가율(%),자동차 당월 (만 대),자동차 당월 (누계 만대),자동차 전년동기대비 증가율 (%),자동차 누계 증가율(%),조선 당월 (만 톤),조선 당월 (누계 만톤),조선 전년동기대비 증가율 (%),조선 누계 증가율(%),세탁기 당월 (만 대),세탁기 당월 (누계 만대),세탁기 전년동기대비 증가율 (%),세탁기 누계 증가율(%),냉장고 당월 (만 대),냉장고 당월 (누계 만대),냉장고 전년동기대비 증가율 (%),냉장고 누계 증가율(%),에어컨 당월 (만 대),에어컨 당월 (누계 만대),에어컨 전년동기대비 증가율 (%),에어컨 누계 증가율(%),컬러TV 당월 (만 대),컬러TV 당월 (누계 만대),컬러TV 전년동기대비 증가율 (%),컬러TV 누계 증가율(%),컴퓨터 당월 (만 대),컴퓨터 당월 (누계 만대),컴퓨터 전년동기대비 증가율 (%),컴퓨터 누계 증가율(%),반도체 당월 (억 장),반도체 당월 (누계 억 장),반도체 전년동기대비 증가율 (%),반도체 누계 증가율(%),핸드폰 당월 (만 대),핸드폰 당월 (누계 만대),핸드폰 전년동기대비 증가율 (%),핸드폰 누계 증가율(%)
51.5,136.5,5.1,5.5,403.9,1115.9,0.3,3.1,160.0,459.2,1.8,-0.4,751.4,2089.6,5.8,3.4,558.3,1512.1,0.7,2.1,6045.5,17500.4,-1.1,-1.2,7398.0,21215.2,4.5,5.4,8976.5,24693.1,4.2,4.7,455.4,1338.5,3.0,2.4,5.0,13.1,-2.0,3.1,4.5,11.9,-40.0,-37.4,29361.0,79566.0,9.8,13.3,14036.0,32950.0,34.4,29.6,1029.9,2287.1,-5.6,-6.8,270.2,713.1,0.9,-2.6,239.2,862.5,-40.1,-35.4,658.2,1760.5,-2.4,-1.7,726.0,1760.6,-2.6,-2.3,2019.0,4853.6,8.4,13.6,1703.7,4285.1,9.8,15.3,3254.6,7708.4,4.8,6.5,149.6,399.9,10.8,15.2,15243.6,41558.0,-1.4,0.5
51.6,184.4,6.6,5.5,424.1,1548.5,9.2,5.2,152.2,611.5,1.9,0.2,707.2,2798.7,6.6,4.7,571.2,2044.5,5.0,2.3,6310.6,23878.0,-0.4,-1.2,7669.8,28896.9,4.8,5.0,9226.5,33734.1,8.5,5.0,453.9,1783.7,3.1,2.3,5.6,18.7,12.0,6.3,4.4,15.6,-34.3,-35.8,28414.0,105972.0,7.8,12.1,13495.9,46412.9,35.4,32.2,555.2,2828.2,-48.7,-19.9,245.0,958.3,10.8,0.4,259.0,1114.4,-2.7,-30.1,618.3,2371.6,5.7,-0.2,752.6,2513.2,14.5,2.3,2143.2,7031.2,9.7,12.9,1584.9,5818.4,20.4,15.5,2444.5,10161.7,-2.6,4.2,143.8,537.3,14.3,13.6,14366.7,56479.3,2.8,3.2
49.7,231.9,-1.0,3.5,438.4,1984.4,9.2,6.3,141.0,752.5,-4.5,-0.7,697.5,3472.0,6.6,4.5,569.4,2605.8,1.9,2.6,6688.6,30558.6,4.0,-0.6,8112.7,36985.9,8.9,5.4,9707.0,43467.1,10.8,6.2,455.3,2220.4,4.3,3.2,5.2,23.2,6.1,5.5,4.6,20.2,-29.2,-34.2,33747.0,139479.0,-1.0,8.5,13659.2,60071.1,35.1,33.7,1286.7,4114.8,22.0,-10.2,238.8,1199.3,9.5,2.0,255.1,1336.5,-9.7,-28.8,562.4,2856.6,5.8,1.2,757.8,3268.6,12.1,4.4,2134.4,9025.4,18.4,16.1,1555.8,7339.3,24.3,17.8,3002.5,13237.5,11.1,6.3,156.2,692.7,17.2,14.6,13957.6,70853.4,2.5,3.8
48.2,267.2,-1.8,2.0,470.7,2461.1,12.6,8.4,146.4,899.8,7.6,0.5,679.5,4146.7,3.2,4.8,590.8,3158.3,-3.3,1.6,6587.9,37279.9,3.8,0.5,8019.6,45115.7,7.5,6.0,9551.1,53085.2,7.2,6.0,461.5,2684.6,1.9,3.1,4.7,26.1,-2.1,6.1,4.7,24.9,-14.5,-31.2,36842.0,174558.0,6.0,7.3,13777.0,73849.1,7.2,23.9,1319.7,5433.2,-11.0,-9.7,233.9,1430.1,5.3,3.5,309.8,1646.1,12.5,-23.5,538.5,3397.2,-3.9,0.3,713.0,3979.3,-3.6,3.1,2079.8,11022.6,12.1,14.4,1415.3,8686.8,4.2,15.1,3235.7,16436.7,0.1,7.8,157.0,849.6,17.0,15.0,14109.3,85082.2,-6.7,3.4
44.9,304.4,-0.9,2.1,451.1,2920.3,13.4,8.5,158.4,1052.8,7.5,1.4,701.6,4899.3,6.8,6.6,538.0,3560.2,1.1,2.2,6751.5,44179.4,4.2,1.0,8124.1,53284.6,7.2,6.3,9569.1,62587.2,8.0,6.6,462.4,3136.3,8.5,3.9,4.3,30.0,2.4,7.1,3.3,28.2,-32.7,-31.1,29632.0,196516.0,-10.8,4.5,13669.0,87709.0,6.3,21.0,679.0,6108.4,-21.8,-11.6,206.4,1637.7,-0.5,3.2,255.8,2075.1,-14.4,-19.4,532.4,3944.6,-3.6,0.1,651.6,4629.5,-7.3,2.0,1718.8,12702.5,3.8,12.6,1518.5,10274.7,16.0,16.6,2892.6,18609.5,9.4,7.3,150.9,1000.7,12.0,14.5,13518.4,98950.4,-8.2,2.0
45.5,346.5,-0.9,1.4,442.4,3337.2,13.9,9.9,158.0,1210.8,-0.5,1.2,706.4,5645.1,3.0,6.9,529.8,4032.4,-0.4,1.1,6665.5,51227.0,0.0,0.8,8032.6,61739.8,2.7,5.8,9637.6,72526.5,6.4,7.1,453.5,3571.1,5.7,3.8,4.2,33.9,-2.3,5.0,3.5,31.7,-30.0,-30.8,23676.0,183034.0,-0.2,-0.4,14068.0,101717.0,9.0,19.4,845.6,6950.6,12.2,-9.2,203.2,1840.8,-4.4,2.2,300.1,2351.3,28.7,-16.3,641.5,4587.8,6.8,1.0,693.5,5324.7,0.5,1.6,1475.3,14178.2,-0.4,11.1,1883.8,12143.2,18.4,16.9,3377.6,21871.7,14.2,7.7,146.8,1147.0,5.8,13.4,14860.3,111330.1,0.6,0.2
46.9,391.4,2.2,2.0,415.6,3741.4,5.4,8.4,161.0,1377.2,3.5,2.0,721.8,6350.6,3.5,5.7,541.3,4519.3,-1.0,0.3,6637.7,57860.4,4.4,1.2,8084.5,69942.4,7.5,6.1,9675.0,82100.8,9.8,7.2,456.3,4027.2,5.8,4.2,4.3,38.4,0.0,4.6,3.8,35.5,-19.1,-29.7,20795.0,190168.0,-6.4,-1.8,11448.0,108271.0,-16.4,9.3,1162.5,8120.2,-0.4,-7.7,242.6,2084.2,-10.6,0.6,272.4,2455.8,3.8,-11.6,652.1,5147.1,-2.8,0.7,721.0,6016.7,6.0,2.1,1608.3,16011.4,9.3,12.9,2033.8,14183.5,10.6,15.6,3523.9,25381.8,7.0,8.0,145.5,1291.1,-0.2,11.7,15771.1,126989.0,-10.6,-1.5
46.7,434.5,-0.8,1.8,432.0,4131.3,6.5,8.3,160.8,1538.0,0.9,1.9,735.0,7081.3,5.3,5.7,519.3,4926.3,-0.9,-0.6,6773.6,64506.4,7.3,1.7,8255.2,78245.8,9.1,6.4,9802.4,91843.9,11.5,7.8,452.2,4478.5,5.5,4.4,3.7,41.0,-9.8,0.7,3.0,30.4,-25.0,-32.6,22617.0,212631.0,2.8,-1.0,9590.0,118452.0,-3.3,8.7,859.5,8936.4,-13.0,-7.0,237.0,2322.6,-9.2,-0.4,291.9,2755.6,35.6,-7.9,662.0,5811.2,4.0,0.4,685.4,6687.7,5.2,2.2,1356.8,17175.5,-0.4,10.6,2078.3,16265.7,17.0,15.7,3094.1,28455.6,3.1,5.1,130.1,1422.0,-7.3,9.8,15448.5,143071.9,-11.6,-4.0
48.2,481.8,0.0,1.4,445.0,4571.3,7.5,7.6,145.3,1680.7,-6.2,1.3,715.4,7786.3,1.6,5.0,540.0,5435.5,-3.8,0.0,6372.6,70784.9,9.9,2.4,7762.1,85737.2,10.8,6.7,9423.6,101291.9,11.3,8.3,471.3,5043.0,12.7,6.1,3.8,44.8,-15.6,0.2,3.0,33.4,-31.8,-32.7,23720.0,238516.0,23.2,2.4,11104.0,131495.0,-7.0,6.6,872.6,9805.5,-5.7,-6.8,258.2,2582.0,-16.7,-2.3,234.9,2981.2,-0.6,-7.3,635.6,6446.2,-5.9,-0.3,707.0,7419.0,7.6,2.9,1519.8,18703.1,7.6,10.3,2026.1,18294.8,7.9,14.9,3264.8,31733.6,-1.0,4.8,152.8,1577.1,7.0,9.8,17404.3,164078.3,-8.4,-2.4
47.6,498.9,0.6,-0.1,464.0,5011.1,9.1,7.7,160.2,1841.0,-0.1,1.0,760.1,8558.0,2.6,4.2,612.3,6042.1,6.8,1.1,6320.1,77105.4,9.4,3.0,7612.1,92826.4,8.2,6.6,9365.0,110551.6,9.1,8.5,507.6,5687.9,10.0,6.0,3.8,48.9,-17.4,0.4,2.5,32.8,-32.4,-34.0,25808.0,236750.0,-3.1,-4.4,11961.0,147682.0,-12.1,4.6,808.6,10600.5,-31.6,-9.3,252.6,2796.8,-14.9,-3.8,217.7,3190.0,-15.5,-7.5,696.3,7150.7,-2.9,-0.4,618.8,7876.7,5.8,2.5,1832.0,20486.0,10.6,10.0,2112.1,20381.5,10.5,14.6,3011.0,35192.4,-1.8,4.5,144.0,1739.5,-2.4,9.7,16843.4,179846.4,-9.4,-4.1
,65.5,,-5.2,,789.2,,10.5,,331.3,,8.9,,1417.4,,5.4,,957.0,,-7.6,,12659.0,,9.8,,14958.1,,9.2,,17145.6,,10.7,,902.7,,6.2,,8.2,,0.0,,4.7,,-27.7,,94245.0,,49.9,,20041.3,,-11.0,,1116.6,,-9.4,,372.0,,-15.1,,599.9,,-21.4,,1085.9,,-0.1,,1099.0,,6.4,,2788.5,,6.2,,2826.4,,5.2,,4202.2,,-3.3,,229.5,,-15.9,,23626.2,,-12.3
42.9,105.6,9.2,0.1,478.1,1261.4,20.6,14.7,174.9,506.0,7.5,8.4,790.2,2214.3,7.0,6.5,540.4,1400.4,9.3,3.5,6615.2,19490.1,7.6,9.3,8032.6,23106.9,10.0,9.9,9786.7,26906.6,11.4,10.8,466.6,1369.9,6.9,6.3,5.0,12.1,-5.7,-6.9,3.1,7.8,-24.4,-25.7,27921.0,60269.0,17.3,-1.4,13696.0,32330.3,-14.0,-11.7,794.8,1860.9,-23.2,-18.2,258.7,630.9,-2.6,-10.4,263.8,887.8,15.6,14.3,661.1,1746.2,5.5,1.8,735.7,1836.8,1.9,4.7,2406.9,5199.0,22.3,13.3,1728.5,4463.5,3.1,5.6,3037.8,7184.6,-5.6,-3.3,138.4,345.2,-2.3,-8.7,14529.8,36101.4,-7.0,-14.7
42.2,147.5,1.7,0.9,464.8,1729.9,11.1,13.9,169.3,675.3,9.5,8.7,759.4,2996.0,7.5,7.5,489.3,1852.8,-3.9,0.7,6983.4,26264.5,10.1,9.6,8503.2,31496.1,12.7,10.1,10205.2,37086.1,11.5,11.1,473.6,1863.5,4.9,5.2,3.6,14.5,-25.0,-7.1,2.9,10.7,-31.0,-27.2,23657.0,84363.0,7.7,5.3,12917.0,45258.0,-7.3,-10.2,545.4,2406.1,-0.3,-14.7,202.0,832.4,-15.8,-11.8,261.6,1150.9,10.8,13.8,646.8,2395.9,9.4,3.9,771.2,2615.0,2.1,4.1,2363.6,7546.5,15.4,12.5,1688.6,6206.7,5.7,7.0,2643.0,9809.0,9.2,-0.6,141.1,502.1,-2.1,-6.7,14672.7,50812.3,0.0,-10.9
40.9,188.3,0.0,-0.2,490.7,2244.3,10.1,13.0,171.4,847.7,14.6,9.8,756.5,3785.7,5.8,6.6,621.0,2886.5,1.1,-1.2,7219.0,33534.7,6.6,8.9,8909.1,40487.9,10.0,10.2,10740.3,48036.4,11.5,11.2,474.0,2340.9,2.2,4.0,3.8,19.1,-17.4,-9.0,2.7,13.4,-38.6,-30.2,40142.0,255969.0,0.9,2.9,13317.2,60260.0,-9.3,-11.9,842.3,3499.4,-37.8,-21.2,185.1,1017.9,-21.5,-14.1,275.4,1433.2,1.7,6.6,680.6,3073.6,19.8,6.9,777.8,3461.2,0.6,3.7,2191.2,9745.9,6.4,11.0,1583.2,7814.9,0.8,5.3,2732.8,12318.3,0.3,1.9,165.2,659.6,6.7,-1.2,14603.0,65819.1,1.0,-8.0
42.1,228.0,-0.5,-0.1,505.1,2803.7,7.1,12.0,166.0,1014.8,11.9,9.8,759.6,4557.3,10.0,7.4,633.1,3238.4,8.8,2.6,7013.9,40421.4,5.8,7.9,8753.3,49216.9,10.0,9.9,10709.9,58689.8,12.6,11.4,489.7,2833.8,5.7,4.3,4.3,23.9,-14.0,-10.5,3.0,16.4,-30.2,-30.2,27414.0,280039.0,-11.0,94.6,13680.0,75406.0,-11.0,-10.1,1128.8,4732.3,-22.7,-20.6,196.0,1214.0,-15.2,-14.2,279.6,1625.9,7.4,12.2,650.2,3732.5,19.8,9.2,746.1,4250.4,2.8,4.5,2133.1,11978.8,2.4,10.2,1404.8,9134.3,-1.7,4.6,3276.4,15630.7,13.9,4.2,148.9,790.6,-1.2,-2.5,15125.5,80925.8,-0.6,-6.9
46.9,311.2,-3.3,-2.6,511.9,3424.3,8.0,11.7,168.4,1190.0,3.6,9.3,779.3,5450.8,7.2,7.5,758.0,5321.4,5.1,7.2,6831.4,47344.4,0.6,6.7,8522.3,57706.4,5.0,9.0,10581.8,69776.2,9.6,11.2,489.7,3365.0,2.6,4.3,3.8,27.9,-17.4,-11.7,2.2,19.3,-31.3,-29.6,31770.0,306415.0,-6.5,44.2,15477.5,100905.5,-7.1,-6.3,703.5,5511.0,-10.2,-18.2,185.4,1435.0,-11.5,-12.8,266.6,1848.5,5.0,-3.3,491.5,4243.7,-7.3,7.3,734.2,5043.4,9.0,4.2,1686.1,13853.1,-3.0,8.7,1356.6,10538.1,-12.1,1.4,2886.8,18635.1,12.4,5.2,172.3,1070.2,7.7,0.9,14041.4,96235.5,-4.5,-5.7
43.1,335.2,-6.1,-1.1,511.2,3918.8,9.3,11.5,164.5,1354.5,1.8,7.9,771.0,6281.2,5.7,8.4,742.5,6066.9,2.1,8.1,7117.4,54471.0,7.1,6.9,8725.1,66486.9,9.3,9.1,10638.9,80366.5,9.8,11.0,491.0,3862.9,4.4,4.6,3.7,31.0,-21.3,-16.7,2.9,20.8,-12.1,-30.4,33309.0,336297.0,-4.6,33.0,14599.8,120777.5,-19.3,-6.6,821.9,6160.1,-13.3,-18.2,200.0,1592.4,-0.6,-12.5,273.9,2224.0,0.8,7.0,678.2,4917.0,4.9,6.8,701.7,5736.5,-5.2,2.8,1433.2,15239.5,-2.9,7.9,1667.8,12165.9,-12.8,-1.3,3155.8,21755.9,5.1,5.6,180.4,1372.0,0.2,0.0,14523.1,110268.0,-6.2,-6.2
