2019_PM25,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
count,181.0,143.0,203.0,8.0,40.0,4.0,1.0,0.0,0.0,2.0,10.0,50.0
mean,88.0,96.0,90.0,81.0,81.0,92.0,77.0,,,81.0,86.0,93.0
std,21.0,30.0,28.0,6.0,5.0,8.0,,,,8.0,14.0,15.0
min,51.0,75.0,49.0,75.0,75.0,82.0,77.0,,,75.0,75.0,75.0
25%,78.0,79.0,76.0,78.0,77.0,86.0,77.0,,,78.0,77.0,81.0
50%,83.0,84.0,81.0,79.0,80.0,92.0,77.0,,,81.0,82.0,88.0
75%,90.0,95.0,90.0,84.0,83.0,98.0,77.0,,,84.0,88.0,102.0
max,162.0,224.0,178.0,92.0,97.0,100.0,77.0,,,87.0,122.0,143.0
