,2022_PM25,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
df_2022_PM25,count,35.0,45.0,15.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,13.0,1.0
df_2022_PM25,mean,81.0,81.0,81.0,100.0,82.0,144.0,,,,80.0,82.0,75.0
df_2022_PM25,std,4.0,6.0,10.0,32.0,,106.0,,,,2.0,11.0,
df_2022_PM25,min,75.0,75.0,75.0,80.0,82.0,69.0,,,,77.0,75.0,75.0
df_2022_PM25,25%,78.0,76.0,76.0,81.0,82.0,106.0,,,,79.0,76.0,75.0
df_2022_PM25,50%,80.0,79.0,79.0,82.0,82.0,144.0,,,,81.0,77.0,75.0
df_2022_PM25,75%,84.0,83.0,82.0,110.0,82.0,182.0,,,,81.0,82.0,75.0
df_2022_PM25,max,90.0,95.0,117.0,137.0,82.0,219.0,,,,81.0,113.0,75.0
df_2022_PM10,count,1.0,0.0,61.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0
df_2022_PM10,mean,152.0,,194.0,178.0,,271.0,,,,,,209.0
df_2022_PM10,std,,,37.0,14.0,,,,,,,,68.0
df_2022_PM10,min,152.0,,150.0,159.0,,271.0,,,,,,105.0
df_2022_PM10,25%,152.0,,166.0,167.0,,271.0,,,,,,169.0
df_2022_PM10,50%,152.0,,182.0,176.0,,271.0,,,,,,184.0
df_2022_PM10,75%,152.0,,207.0,184.0,,271.0,,,,,,238.0
df_2022_PM10,max,152.0,,287.0,217.0,,271.0,,,,,,396.0
