2021_PM10,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
count,21.0,8.0,209.0,58.0,180.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
mean,165.0,155.0,319.0,204.0,259.0,,,,,,158.0,
std,12.0,3.0,203.0,43.0,129.0,,,,,,6.0,
min,150.0,152.0,104.0,150.0,104.0,,,,,,150.0,
25%,156.0,153.0,149.0,171.0,152.0,,,,,,154.0,
50%,166.0,154.0,237.0,199.0,212.0,,,,,,156.0,
75%,173.0,155.0,440.0,226.0,335.0,,,,,,162.0,
max,192.0,161.0,1005.0,346.0,620.0,,,,,,172.0,
