구분,방직 당월 (억 미터),화학섬유 당월 (만 톤),에틸렌 당월 (만 톤),플라스틱원료 당월 (만 톤),플라스틱제품 당월 (만 톤),선철 당월 (만 톤),조강 당월 (만 톤),강재 당월 (만 톤),비철금속 당월 (만 톤),금속절삭기계 당월 (만 대),소형트랙터 당월 (만 대),대기오염방지설비 당월 (만 대),공업용로봇 당월 (대),발전설비 당월 (만 kW),자동차 당월 (만 대),조선 당월 (만 톤),세탁기 당월 (만 대),냉장고 당월 (만 대),에어컨 당월 (만 대),컬러TV 당월 (만 대),컴퓨터 당월 (만 대),반도체 당월 (억 장),핸드폰 당월 (만 대)
2020년 5월,32.4,537.3,168.0,842.1,669.0,7731.5,9226.7,11452.7,498.3,4.1,1.5,26229.0,17794.0,1023.6,215.2,211.1,608.3,776.7,1942.8,1509.9,3509.4,215.0,11028.2
2020년 6월,33.5,547.5,159.3,848.8,654.8,7663.5,9157.9,11585.1,508.2,4.5,1.6,31962.0,20761.0,1612.2,231.1,274.2,655.5,887.4,2490.3,1610.1,3421.6,211.0,12989.5
2020년 7월,32.9,524.7,173.8,828.7,681.6,7818.3,9335.9,11688.5,507.5,3.9,1.7,27839.0,21170.0,1064.6,225.8,201.1,686.2,914.7,1851.2,1754.1,3464.1,222.0,12225.8
2020년 8월,32.4,524.7,178.8,877.4,656.6,7854.6,9484.5,11913.3,528.6,3.8,1.3,28112.0,20663.0,998.1,208.8,224.9,749.2,908.5,1533.0,1932.8,3639.1,222.2,13120.1
2020년 9월,34.0,541.7,187.4,895.2,708.1,7578.3,9255.5,11806.3,532.4,4.1,1.6,30702.0,23194.0,1289.6,246.1,293.1,799.2,935.8,1714.1,2057.4,4078.0,240.5,14877.8
2020년 10월,34.6,560.9,202.4,920.3,686.6,7617.1,9220.2,11848.3,544.7,4.0,2.4,23883.0,21467.0,1528.1,248.1,203.0,840.6,879.6,1448.9,1960.2,4237.0,272.9,13101.3
2020년 11월,35.8,573.8,198.4,932.8,790.3,7200.5,8766.0,11734.4,549.2,4.4,1.9,43322.0,23635.0,1596.7,278.3,312.9,856.6,898.9,1771.6,1962.2,4261.4,252.1,14966.3
2020년 12월,38.1,603.8,208.4,946.3,774.8,7421.5,9125.2,12033.8,574.6,4.9,1.9,34292.0,29706.0,1689.9,280.4,272.7,806.4,796.4,2152.5,1844.1,4806.8,276.0,16495.5
2021년1월,,,,,,,,,,,,,,,,,,,,,,,
2021년2월,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021년3월,34.3,596.7,248.9,969.5,723.0,7474.5,9402.1,11987.2,548.3,6.0,1.9,43637.0,33075.0,1242.9,251.7,244.2,831.2,946.6,2591.6,1824.0,4395.7,290.9,13723.0
