2018_PM10,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
count,18.0,187.0,2.0,3.0,0.0,0.0,0.0,1.0,136.0,7.0
mean,164.0,215.0,167.0,215.0,,,,163.0,209.0,162.0
std,12.0,71.0,24.0,20.0,,,,,57.0,8.0
min,151.0,104.0,150.0,193.0,,,,163.0,121.0,151.0
25%,154.0,164.0,158.0,207.0,,,,163.0,164.0,156.0
50%,160.0,198.0,167.0,221.0,,,,163.0,194.0,165.0
75%,175.0,251.0,176.0,226.0,,,,163.0,236.0,168.0
max,189.0,461.0,184.0,231.0,,,,163.0,384.0,172.0
