,발령 지역 명,미세먼지 항목 구분,발령 연도,분기,평균 미세먼지 농도
0,경북,PM25,2018,2018년도 3분기,82.0
1,경북,PM25,2018,2018년도 1분기,92.0
2,경북,PM25,2019,2019년도 4분기,77.0
3,경북,PM25,2021,2021년도 2분기,81.0
4,경북,PM25,2023,2023년도 2분기,92.0
5,경북,PM25,2023,2023년도 1분기,83.0
6,경북,PM10,2018,2018년도 4분기,183.0
7,경북,PM10,2018,2018년도 2분기,234.0
8,경북,PM10,2019,2019년도 2분기,174.0
9,경북,PM10,2020,2020년도 2분기,190.0
10,경북,PM10,2022,2022년도 4분기,160.0
11,경북,PM10,2022,2022년도 1분기,179.0
12,경북,PM10,2023,2023년도 1분기,178.0
