,발령 지역 명,미세먼지 항목 구분,발령 연도,분기,평균 미세먼지 농도
0,경남,PM25,2018,2018년도 1분기,97.0
1,경남,PM25,2019,2019년도 4분기,102.0
2,경남,PM25,2019,2019년도 2분기,75.0
3,경남,PM25,2020,2020년도 3분기,85.0
4,경남,PM25,2021,2021년도 2분기,94.0
5,경남,PM25,2022,2022년도 4분기,94.0
6,경남,PM25,2022,2022년도 2분기,144.0
7,경남,PM10,2018,2018년도 4분기,191.0
8,경남,PM10,2018,2018년도 2분기,205.0
9,경남,PM10,2018,2018년도 1분기,153.0
10,경남,PM10,2020,2020년도 4분기,154.0
11,경남,PM10,2022,2022년도 4분기,181.0
12,경남,PM10,2022,2022년도 2분기,271.0
13,경남,PM10,2022,2022년도 1분기,195.0
