,발령 지역 명,미세먼지 항목 구분,발령 연도,분기,평균 미세먼지 농도
0,대전,PM25,2019,2019년도 4분기,90.0
1,대전,PM25,2021,2021년도 4분기,76.0
2,대전,PM25,2021,2021년도 2분기,102.0
3,대전,PM25,2023,2023년도 2분기,119.0
4,대전,PM10,2018,2018년도 4분기,225.0
5,대전,PM10,2018,2018년도 2분기,183.0
6,대전,PM10,2019,2019년도 2분기,158.0
7,대전,PM10,2020,2020년도 2분기,160.0
8,대전,PM10,2022,2022년도 4분기,178.0
9,대전,PM10,2022,2022년도 2분기,168.0
10,대전,PM10,2022,2022년도 1분기,180.0
